signal_id,timestamp_et,modulo,ticker,gate_status,estrategia,strike,vencimento,bid,ask,mid,iv_rank,delta,contratos_sugeridos,custo_estimado,motivo_gate
S0001,2026-07-22 12:59:32,SWING,AMD,AGUARDAR,COMPRA CALL,550.0,20260814,51.6,53.1,52.35,86.8,0.566,1,5310.0,score=7 cf=MONITORAR dte=23
S0002,2026-07-22 12:59:44,SWING,AMD,AGUARDAR,COMPRA PUT,520.0,20260814,31.2,31.8,31.5,88.0,-0.338,1,3180.0,score=7 cf=MONITORAR dte=23
S0003,2026-07-22 12:59:55,SWING,UBER,APROVO,COMPRA CALL,74.0,20260814,2.23,2.29,2.26,48.5,0.388,1,229.0,score=8 cf=MONITORAR dte=23
S0004,2026-07-22 13:00:06,SWING,UBER,AGUARDAR,COMPRA PUT,71.0,20260814,3.4,3.6,3.5,49.1,-0.476,1,360.0,score=7 cf=REPROVO_CAPITAL dte=23
S0005,2026-07-22 13:00:16,SWING,PLTR,APROVO,COMPRA CALL,130.0,20260821,8.2,8.45,8.325,67.2,0.485,1,845.0,score=9 cf=MONITORAR dte=30
S0006,2026-07-22 13:21:17,0DTE,SPY,FECHADO,COMPRA PUT,749.28,2026-07-22,,,,,-0.4966,1,300.0,teorico=1.06 best_side=PUT
S0007,2026-07-22 13:38:12,0DTE,SPY,FECHADO,COMPRA PUT,749.28,,,,,,-0.49,1,300.0,teste direto
